date,ticker,p_1045,p_1115,p_1145,p_1215,ret_control,ret_phantom,ret_post
2025-12-10,AAPL,276.7680,276.9900,277.1000,276.7200,0.000802,0.000397,-0.001371
2025-12-11,AAPL,275.9487,277.4500,277.6200,278.0700,0.005441,0.000613,0.001621
2025-12-12,AAPL,278.3065,277.8700,277.3600,277.9500,-0.001568,-0.001835,0.002127
2025-12-15,AAPL,274.2953,278.2200,278.1700,278.3800,0.014308,-0.000180,0.000755
2025-12-16,AAPL,273.0715,273.1800,272.9500,272.8300,0.000397,-0.000842,-0.000440
2025-12-17,AAPL,274.7399,274.1200,274.0200,274.4100,-0.002256,-0.000365,0.001423
2025-12-18,AAPL,271.4130,271.5700,271.4700,271.3900,0.000578,-0.000368,-0.000295
2025-12-19,AAPL,271.6228,272.1200,271.9400,271.8600,0.001830,-0.000661,-0.000294
2025-12-22,AAPL,271.7728,273.5800,273.5100,273.5000,0.006650,-0.000256,-0.000037
2025-12-23,AAPL,270.9235,270.6200,270.7700,270.6000,-0.001120,0.000554,-0.000628
2025-12-24,AAPL,273.9906,271.7700,271.6600,271.6900,-0.008105,-0.000405,0.000110
2025-12-26,AAPL,274.3902,273.0000,273.0700,273.0000,-0.005067,0.000256,-0.000256
2025-12-29,AAPL,273.5061,272.6600,272.0700,272.2300,-0.003094,-0.002164,0.000588
2025-12-30,AAPL,272.2722,273.3800,273.3200,273.2800,0.004069,-0.000219,-0.000146
2025-12-31,AAPL,272.1446,271.9900,272.0500,271.9300,-0.000568,0.000221,-0.000441
2026-01-02,AAPL,272.5020,273.5600,273.2500,273.0200,0.003883,-0.001133,-0.000842
2026-01-05,AAPL,268.8654,270.6700,270.3200,270.4800,0.006712,-0.001293,0.000592
2026-01-06,AAPL,264.7094,266.5500,266.7700,266.4100,0.006953,0.000825,-0.001349
2026-01-07,AAPL,261.3825,261.6100,261.3500,261.5800,0.000870,-0.000994,0.000880
2026-01-08,AAPL,256.5071,259.2000,258.8200,258.7100,0.010498,-0.001466,-0.000425
2026-01-09,AAPL,257.5861,258.7700,259.0800,258.9600,0.004596,0.001198,-0.000463
2026-01-12,AAPL,259.4344,257.0400,257.2900,257.4400,-0.009229,0.000973,0.000583
2026-01-13,AAPL,259.5742,259.3700,258.8300,258.7300,-0.000787,-0.002082,-0.000386
2026-01-14,AAPL,259.2246,260.4100,260.0700,259.9500,0.004573,-0.001306,-0.000461
2026-01-15,AAPL,259.6841,259.5200,259.9100,259.7100,-0.000632,0.001503,-0.000769
2026-01-16,AAPL,256.1175,258.0600,257.6300,257.4600,0.007584,-0.001666,-0.000660
2026-01-20,AAPL,251.3021,251.4100,251.3900,251.0700,0.000429,-0.000080,-0.001273
2026-01-21,AAPL,248.2550,246.4900,246.4300,245.6600,-0.007110,-0.000243,-0.003125
2026-01-22,AAPL,249.5028,249.5500,249.3100,249.4600,0.000189,-0.000962,0.000602
2026-01-23,AAPL,247.8154,248.4500,248.1600,248.1600,0.002561,-0.001167,0.000000
2026-01-26,AAPL,254.7388,248.4500,248.3100,248.1600,-0.024687,-0.000563,-0.000604
2026-01-27,AAPL,260.1037,256.3300,256.1400,256.3300,-0.014508,-0.000741,0.000742
2026-01-28,AAPL,255.7978,258.6100,258.3600,258.3100,0.010994,-0.000967,-0.000194
2026-01-29,AAPL,254.8987,257.8600,257.5600,257.4000,0.011618,-0.001163,-0.000621
2026-01-30,AAPL,255.3483,258.1200,257.4400,257.6200,0.010855,-0.002634,0.000699
2026-02-02,AAPL,263.6704,257.8700,258.3500,258.1700,-0.021999,0.001861,-0.000697
2026-02-03,AAPL,268.1661,267.3500,267.4800,267.6000,-0.003043,0.000486,0.000449
2026-02-04,AAPL,275.5341,269.7200,269.4200,269.7400,-0.021101,-0.001112,0.001188
2026-02-05,AAPL,275.6990,273.7000,274.0200,274.2600,-0.007251,0.001169,0.000876
2026-02-06,AAPL,279.2856,274.9800,274.1400,273.7700,-0.015416,-0.003055,-0.001350
2026-02-09,AAPL,273.4300,277.1500,277.0800,276.4600,0.013605,-0.000253,-0.002238
2026-02-10,AAPL,274.6950,273.7600,273.7000,273.4600,-0.003404,-0.000219,-0.000877
2026-02-11,AAPL,278.1400,273.9800,273.3000,273.0500,-0.014956,-0.002482,-0.000915
2026-02-12,AAPL,270.8896,275.2900,275.0700,275.1700,0.016244,-0.000799,0.000364
2026-02-13,AAPL,259.5100,262.0000,261.9900,262.0800,0.009595,-0.000038,0.000344
2026-02-17,AAPL,259.7300,254.8100,255.2200,255.0000,-0.018943,0.001609,-0.000862
2026-02-18,AAPL,265.7000,265.6400,265.6000,265.1800,-0.000226,-0.000151,-0.001581
2026-02-19,AAPL,263.8200,263.2400,263.1000,262.8500,-0.002198,-0.000532,-0.000950
2026-02-20,AAPL,262.4000,261.4000,261.2000,260.9700,-0.003811,-0.000765,-0.000881
2026-02-23,AAPL,266.8000,263.6100,263.3400,263.4000,-0.011957,-0.001024,0.000228
2026-02-24,AAPL,274.1150,267.0100,266.8900,266.9100,-0.025920,-0.000449,0.000075
2026-02-25,AAPL,273.4200,271.6600,271.4700,271.6000,-0.006437,-0.000699,0.000479
2026-02-26,AAPL,271.4500,274.0900,273.6900,273.7200,0.009726,-0.001459,0.000110
2026-02-27,AAPL,268.6900,272.3300,272.1900,271.7700,0.013547,-0.000514,-0.001543
2026-03-02,AAPL,263.8100,261.1400,261.1400,261.3000,-0.010121,0.000000,0.000613
2026-03-03,AAPL,262.9350,262.7100,262.2400,261.5400,-0.000856,-0.001789,-0.002669
2026-03-04,AAPL,263.7200,263.1600,262.8800,263.8800,-0.002123,-0.001064,0.003804
2025-02-03,GOOGL,201.9581,198.7200,198.5300,198.9800,-0.016034,-0.000956,0.002267
