date,ticker,datetime,zone,direction,close,roll_high,roll_low,false_breakout
2025-08-19,V,2025-08-19 11:00:00,Zone2_10-12,DOWN,340.9500,344.9523,342.6317,1
2025-08-20,V,2025-08-20 11:00:00,Zone2_10-12,DOWN,341.0800,345.2262,344.1335,1
2025-08-22,V,2025-08-22 11:00:00,Zone2_10-12,DOWN,342.7200,349.3945,348.0997,0
2025-08-22,V,2025-08-22 11:35:00,Zone2_10-12,UP,348.4582,343.3600,342.6400,1
2025-08-22,V,2025-08-22 13:15:00,Zone3_12-1330,UP,348.3188,343.3500,343.1100,1
2025-08-22,V,2025-08-22 14:20:00,Zone4_1330-1445,UP,347.9602,343.3700,342.3700,1
2025-08-26,V,2025-08-26 10:40:00,Zone2_10-12,DOWN,347.1535,351.9841,348.3636,1
2025-08-27,V,2025-08-27 14:35:00,Zone4_1330-1445,DOWN,348.6973,350.7100,350.2500,1
2025-08-29,V,2025-08-29 12:10:00,Zone3_12-1330,UP,350.4353,348.2000,347.1400,1
2025-08-29,V,2025-08-29 14:35:00,Zone4_1330-1445,UP,350.7042,349.0700,348.4800,1
2025-09-02,V,2025-09-02 11:35:00,Zone2_10-12,DOWN,345.2960,349.9900,347.6963,1
2025-09-02,V,2025-09-02 12:15:00,Zone3_12-1330,DOWN,345.7491,350.1700,349.4000,1
2025-09-02,V,2025-09-02 14:45:00,Zone5_1445-16,DOWN,347.3826,349.7900,349.1800,1
2025-09-02,V,2025-09-02 15:50:00,Zone5_1445-16,DOWN,346.6100,350.3700,348.6000,1
2025-09-05,V,2025-09-05 11:00:00,Zone2_10-12,UP,350.0300,346.3915,343.4484,0
2025-09-05,V,2025-09-05 12:00:00,Zone3_12-1330,DOWN,340.9385,350.6900,349.9900,1
2025-09-10,V,2025-09-10 11:00:00,Zone2_10-12,UP,343.2200,337.9405,336.6956,0
2025-09-10,V,2025-09-10 12:50:00,Zone3_12-1330,DOWN,338.8668,342.4400,341.1300,1
2025-09-10,V,2025-09-10 14:05:00,Zone4_1330-1445,DOWN,338.6328,342.4000,341.6700,1
2025-09-10,V,2025-09-10 14:40:00,Zone4_1330-1445,DOWN,338.3091,342.3000,341.1900,1
2025-09-11,V,2025-09-11 12:10:00,Zone3_12-1330,UP,340.0421,337.4900,336.9400,1
2025-09-11,V,2025-09-11 14:25:00,Zone4_1330-1445,UP,340.3060,337.4100,337.1900,1
2025-09-12,V,2025-09-12 11:00:00,Zone2_10-12,UP,341.1600,339.7732,338.5879,0
2025-09-12,V,2025-09-12 11:40:00,Zone2_10-12,DOWN,339.1756,341.7300,340.6300,1
2025-09-12,V,2025-09-12 12:20:00,Zone3_12-1330,UP,341.6100,339.0610,338.6178,1
2025-09-12,V,2025-09-12 13:50:00,Zone4_1330-1445,DOWN,338.4535,341.4500,341.1000,1
2025-09-15,V,2025-09-15 11:00:00,Zone2_10-12,DOWN,338.6400,340.8090,339.6935,0
2025-09-16,V,2025-09-16 11:00:00,Zone2_10-12,UP,337.9200,336.1179,333.9765,0
2025-09-17,V,2025-09-17 12:10:00,Zone3_12-1330,UP,341.9146,338.0700,337.7900,1
2025-09-17,V,2025-09-17 14:50:00,Zone5_1445-16,UP,341.5261,338.6800,338.3500,1
2025-09-18,V,2025-09-18 11:00:00,Zone2_10-12,UP,345.8100,343.4185,341.3767,0
2025-09-18,V,2025-09-18 12:35:00,Zone3_12-1330,DOWN,342.8657,346.6100,346.0100,1
2025-09-18,V,2025-09-18 14:25:00,Zone4_1330-1445,DOWN,344.2300,346.0000,345.4100,0
2025-09-19,V,2025-09-19 12:10:00,Zone3_12-1330,UP,339.5292,337.9500,337.3400,0
2025-09-22,V,2025-09-22 11:00:00,Zone2_10-12,DOWN,339.1300,342.4624,341.4365,0
2025-09-22,V,2025-09-22 13:50:00,Zone4_1330-1445,UP,341.7800,339.5900,339.2200,1
2025-09-23,V,2025-09-23 11:00:00,Zone2_10-12,UP,342.8100,341.2273,339.6337,0
2025-09-23,V,2025-09-23 11:55:00,Zone2_10-12,DOWN,339.4296,342.6600,342.3800,1
2025-09-25,V,2025-09-25 11:00:00,Zone2_10-12,UP,337.3400,335.7593,334.7832,1
2025-09-25,V,2025-09-25 12:10:00,Zone3_12-1330,DOWN,334.8430,337.3000,336.8500,1
2025-09-25,V,2025-09-25 12:50:00,Zone3_12-1330,DOWN,334.9127,337.5700,337.1600,1
2025-09-25,V,2025-09-25 14:35:00,Zone4_1330-1445,DOWN,334.7633,337.2400,337.0200,1
2025-09-26,V,2025-09-26 12:35:00,Zone3_12-1330,UP,337.2832,335.1700,334.6900,1
2025-09-26,V,2025-09-26 13:10:00,Zone3_12-1330,UP,337.3429,335.2000,334.8900,1
2025-09-30,V,2025-09-30 10:35:00,Zone2_10-12,DOWN,340.5401,344.2253,341.7253,0
2025-09-30,V,2025-09-30 11:00:00,Zone2_10-12,DOWN,338.3100,343.7771,339.3847,1
2025-09-30,V,2025-09-30 14:50:00,Zone5_1445-16,UP,340.6300,339.4900,337.8700,1
2025-09-30,V,2025-09-30 15:05:00,Zone5_1445-16,UP,342.9700,340.8500,335.6300,0
2025-09-30,V,2025-09-30 15:55:00,Zone5_1445-16,DOWN,341.1800,343.4200,342.3300,0
2025-10-01,V,2025-10-01 11:00:00,Zone2_10-12,DOWN,338.4800,346.9443,344.9225,0
2025-10-01,V,2025-10-01 11:35:00,Zone2_10-12,UP,346.5708,338.6600,338.1900,1
2025-10-01,V,2025-10-01 13:15:00,Zone3_12-1330,UP,345.7193,338.5100,338.2100,1
2025-10-02,V,2025-10-02 11:00:00,Zone2_10-12,UP,346.4200,344.4245,342.5221,0
2025-10-02,V,2025-10-02 11:55:00,Zone2_10-12,DOWN,342.7412,346.4400,345.8400,1
2025-10-03,V,2025-10-03 11:00:00,Zone2_10-12,DOWN,344.9000,350.2311,349.3198,1
2025-10-03,V,2025-10-03 12:30:00,Zone3_12-1330,UP,350.8212,345.3900,344.7600,1
2025-10-06,V,2025-10-06 11:00:00,Zone2_10-12,UP,348.6400,347.4374,346.2571,0
2025-10-06,V,2025-10-06 12:35:00,Zone3_12-1330,DOWN,347.0887,349.0200,348.7300,1
2025-10-06,V,2025-10-06 14:35:00,Zone4_1330-1445,DOWN,347.3726,349.2000,348.7000,1
2025-10-06,V,2025-10-06 15:35:00,Zone5_1445-16,DOWN,339.8500,350.5900,347.5700,1
2025-10-07,V,2025-10-07 11:00:00,Zone2_10-12,DOWN,346.8000,352.5617,351.3865,1
2025-10-07,V,2025-10-07 13:30:00,Zone4_1330-1445,UP,350.7789,347.8900,347.3800,1
2025-10-08,V,2025-10-08 12:15:00,Zone3_12-1330,UP,353.0099,351.2800,350.9900,1
2025-10-09,V,2025-10-09 11:00:00,Zone2_10-12,UP,350.4000,348.8068,347.8905,0
2025-10-09,V,2025-10-09 11:35:00,Zone2_10-12,DOWN,348.1843,350.5900,349.4600,1
2025-10-09,V,2025-10-09 12:15:00,Zone3_12-1330,DOWN,347.0041,350.1900,349.9500,1
