variant,ticker,cross_date,cross_half,entry_dt,entry_price,exit_dt,exit_price,exit_reason,one_r,pnl_r
+0.25R,BA,2025-08-27,AM,2025-08-27 13:30:00,234.7300,2025-08-27 13:40:00,234.6600,disaster_stop,0.1500,-0.467
+0.25R,BA,2025-09-29,PM,2025-09-30 09:30:00,217.0950,2025-09-30 09:55:00,215.4950,disaster_stop,1.2150,-1.317
+0.25R,BA,2025-10-07,PM,2025-10-08 09:30:00,222.7300,2025-10-08 10:00:00,223.0600,clock_stop,1.4000,0.236
+0.25R,BA,2025-10-24,AM,2025-10-24 13:30:00,218.5000,2025-10-24 13:40:00,218.3600,disaster_stop,0.1000,-1.400
+0.25R,BA,2025-12-02,PM,2025-12-03 09:30:00,204.6000,2025-12-03 10:00:00,204.1200,clock_stop,10.0900,-0.048
+0.25R,BA,2026-02-09,PM,2026-02-10 09:30:00,244.1200,2026-02-10 10:00:00,243.8700,clock_stop,1.5200,-0.164
+0.25R,BABA,2025-02-04,AM,2025-02-04 13:30:00,98.6400,2025-02-04 13:45:00,98.6000,disaster_stop,0.0100,-4.000
+0.25R,BABA,2025-04-23,PM,2025-04-24 09:30:00,115.9465,2025-04-24 09:35:00,116.4135,chandelier_stop,0.3490,1.338
+0.25R,BABA,2025-06-09,PM,2025-06-10 09:30:00,118.5814,2025-06-10 15:50:00,118.7000,eod_1550,1.2114,0.098
+0.25R,BABA,2025-07-15,PM,2025-07-16 09:30:00,115.5000,2025-07-16 09:55:00,114.4207,disaster_stop,0.8200,-1.316
+0.25R,BABA,2025-08-07,AM,2025-08-07 13:30:00,121.4700,2025-08-07 13:55:00,121.4000,disaster_stop,0.0900,-0.778
+0.25R,BABA,2025-08-25,AM,2025-08-25 13:30:00,127.2600,2025-08-25 14:05:00,127.3900,chandelier_stop,0.1500,0.867
+0.25R,BABA,2025-10-24,PM,2025-10-27 09:30:00,179.7400,2025-10-27 10:00:00,178.3100,clock_stop,6.0600,-0.236
+0.25R,BABA,2025-11-25,PM,2025-11-26 09:30:00,157.7500,2025-11-26 10:00:00,157.3400,clock_stop,0.7888,-0.520
+0.25R,BABA,2025-12-02,PM,2025-12-03 09:30:00,161.0700,2025-12-03 10:00:00,157.5400,clock_stop,0.1900,-18.579
+0.25R,BABA,2026-01-12,AM,2026-01-12 13:30:00,157.4100,2026-01-12 14:00:00,157.2600,clock_stop,0.0800,-1.875
