date,ticker,am_return,pm_return,is_stress
2025-11-18,IBIT,-0.004517,-0.001738,True
2025-11-19,NVDA,-0.012826,0.011238,False
2025-11-19,BIDU,-0.006865,0.003150,False
2025-11-20,GOOGL,-0.021182,0.018463,False
2025-11-20,C,-0.018007,0.013973,False
2025-11-21,AMD,-0.036182,0.031304,True
2025-11-21,MU,-0.036097,0.029076,True
2025-11-24,AVGO,-0.016162,0.014262,False
2025-11-24,BIDU,-0.014842,0.010861,False
2025-11-25,NVDA,-0.014726,-0.011210,False
2025-11-25,COIN,-0.012564,0.000517,False
2025-11-26,AMD,-0.037943,0.022169,False
2025-11-26,MU,-0.015712,0.003497,False
2025-11-28,MARA,-0.027257,-0.001751,False
2025-11-28,IBIT,-0.015341,0.000769,False
2025-12-01,BABA,-0.010031,0.007301,False
2025-12-01,AMZN,-0.008447,0.000476,False
2025-12-02,BA,-0.055925,0.033599,False
2025-12-02,MARA,-0.030885,0.016365,False
2025-12-03,BA,-0.020479,0.022903,False
2025-12-03,BABA,-0.019308,0.003102,False
2025-12-04,V,-0.017689,0.014605,False
2025-12-04,COST,-0.017392,0.020427,False
2025-12-05,BIDU,-0.010970,0.006510,False
2025-12-05,AVGO,-0.004155,0.002527,False
2025-12-08,AVGO,-0.016667,0.013721,False
2025-12-08,MU,-0.008854,0.009120,False
2025-12-09,BABA,-0.031658,-0.003740,True
2025-12-09,COIN,-0.010496,0.000405,True
2025-12-10,MU,-0.006863,0.001303,False
2025-12-10,PLTR,-0.004001,0.003963,False
2025-12-11,V,-0.020825,0.012030,False
2025-12-11,BABA,-0.019960,0.002120,False
2025-12-12,C,-0.009965,0.011022,False
2025-12-12,MSFT,-0.006728,-0.000914,False
2025-12-15,MU,-0.017017,0.017421,False
2025-12-15,BIDU,-0.016656,0.020025,False
2025-12-16,BABA,-0.014746,0.005689,True
2025-12-16,MARA,-0.012071,0.015977,True
2025-12-17,TXN,-0.015348,0.012852,False
2025-12-17,IBIT,-0.015270,0.009998,False
2025-12-18,MU,-0.032874,0.033508,False
2025-12-18,AVGO,-0.018134,0.006347,False
2025-12-19,BA,-0.005625,0.000000,False
2025-12-19,GS,-0.003963,-0.000057,False
2025-12-22,AMD,-0.017500,0.007865,False
2025-12-22,TXN,-0.015171,0.005694,False
2025-12-23,COIN,-0.009497,-0.005200,False
2025-12-23,TXN,-0.007517,0.008921,False
2025-12-24,MU,-0.006015,0.007711,False
