ticker,date,direction,adx,pdi,mdi,fwd1_ret,fwd3_ret
MARA,2025-04-14,UP,16.81,23.08,18.52,0.003070,-0.047583
MARA,2025-05-06,DOWN,16.66,19.90,20.48,0.055425,0.097580
MARA,2025-05-08,UP,15.78,24.21,18.25,0.008608,0.165710
MARA,2025-05-30,DOWN,23.22,22.88,18.98,-0.030303,0.036501
MARA,2025-06-09,UP,22.81,26.04,13.82,0.001839,-0.025751
MARA,2025-06-17,DOWN,20.23,21.68,21.69,-0.022712,-0.062792
MARA,2025-07-01,UP,13.19,27.09,19.69,0.041176,0.137255
MARA,2025-07-24,DOWN,28.46,27.60,21.42,-0.020678,-0.014360
MARA,2025-08-28,UP,9.23,24.85,20.44,-0.013076,0.006849
MARA,2025-09-05,DOWN,9.02,20.37,24.94,-0.016150,0.046512
MARA,2025-09-10,UP,8.60,25.40,20.82,-0.014198,0.001852
MARA,2025-09-29,DOWN,13.33,29.84,26.61,0.107338,0.157671
MARA,2025-09-30,UP,13.62,32.70,23.04,0.023001,0.037788
MARA,2025-10-23,DOWN,17.32,25.49,26.23,0.028956,0.011892
MARA,2025-12-05,UP,32.56,19.51,32.78,-0.022059,-0.004902
MARA,2025-12-09,DOWN,31.45,19.77,30.92,0.023529,-0.005042
MARA,2025-12-10,UP,30.77,18.97,29.67,-0.045156,-0.058292
MARA,2025-12-11,DOWN,30.65,17.54,31.97,0.018057,-0.078246
MARA,2026-01-07,UP,27.79,20.53,28.30,-0.031098,-0.009718
MARA,2026-01-08,DOWN,26.84,19.78,26.49,0.058175,0.086259
MARA,2026-01-09,UP,25.84,19.26,24.96,-0.034123,0.051185
MARA,2026-01-23,DOWN,16.92,20.91,20.29,0.020508,0.037109
MARA,2026-02-25,UP,31.57,20.62,29.37,0.020384,0.076739
MARA,2026-03-09,DOWN,21.94,23.12,28.18,0.091022,0.054863
MARA,2026-03-13,UP,18.36,33.10,24.66,0.087100,-0.002205
META,2025-03-26,UP,18.99,27.23,24.06,-0.029952,-0.077724
META,2025-03-28,DOWN,17.22,23.89,27.04,-0.035464,-0.040978
META,2025-04-25,UP,14.01,33.15,21.05,0.004988,-0.000330
META,2025-07-16,DOWN,15.66,24.84,20.91,-0.009451,-0.012662
META,2025-07-25,UP,12.63,25.84,18.05,-0.003615,0.002136
META,2025-07-30,DOWN,11.70,19.74,24.47,0.097236,0.061800
META,2025-07-31,UP,13.67,37.81,16.48,-0.016044,-0.020780
META,2025-08-20,DOWN,25.54,23.89,29.46,-0.008644,0.011253
META,2025-09-08,UP,17.72,26.92,23.42,0.000862,-0.001299
META,2025-09-25,DOWN,20.88,23.70,20.97,-0.002680,-0.005095
META,2025-10-21,UP,13.16,31.12,23.73,-0.007552,0.003043
META,2025-10-30,DOWN,17.96,20.17,42.39,-0.007772,-0.026771
META,2025-11-26,UP,25.76,37.95,19.31,-0.000063,0.008448
META,2025-12-16,DOWN,35.92,36.65,14.50,0.021546,0.031488
META,2025-12-17,UP,36.61,36.50,13.66,-0.003802,0.006432
META,2026-01-05,DOWN,54.68,42.13,10.40,0.015695,-0.004651
META,2026-01-24,UP,32.16,34.06,19.34,0.010258,0.024833
META,2026-02-06,DOWN,24.29,18.77,25.90,-0.006523,0.013466
META,2026-03-04,UP,17.08,32.81,14.31,0.005745,-0.025319
META,2026-03-09,DOWN,19.38,27.47,21.20,0.021345,0.022605
META,2026-03-11,UP,19.45,27.67,18.45,-0.003299,-0.029581
META,2026-03-13,DOWN,17.97,24.83,24.63,0.007134,-0.016512
MSFT,2025-03-24,UP,30.08,25.84,19.99,-0.005315,-0.014929
MSFT,2025-03-29,DOWN,23.16,19.15,23.81,-0.017446,-0.005771
MSFT,2025-04-11,UP,27.80,21.21,23.79,0.020888,0.014627
MSFT,2025-04-21,DOWN,21.59,17.60,30.89,-0.005614,0.030589
MSFT,2025-04-25,UP,18.64,25.58,22.62,0.022568,0.012433
MSFT,2025-08-12,DOWN,26.86,33.23,19.11,0.012650,-0.001862
MSFT,2025-08-13,UP,27.26,35.33,17.98,-0.017174,-0.015089
MSFT,2025-08-14,DOWN,26.72,33.01,22.19,0.002893,-0.001312
MSFT,2025-09-13,UP,12.92,27.13,19.22,-0.010256,-0.002589
MSFT,2025-10-14,DOWN,10.22,16.27,24.39,0.011625,-0.000669
MSFT,2025-10-22,UP,14.95,25.02,15.88,0.004348,0.013121
MSFT,2025-11-03,DOWN,19.42,25.21,18.69,-0.014902,-0.027472
MSFT,2025-12-09,UP,25.03,19.01,25.08,-0.011980,-0.013881
MSFT,2025-12-11,DOWN,25.69,15.73,31.23,0.016051,0.006909
MSFT,2025-12-20,UP,23.30,19.84,24.24,0.001668,0.001256
MSFT,2026-01-03,DOWN,20.14,26.33,35.37,-0.002134,0.009022
MSFT,2026-01-27,UP,18.03,28.58,25.86,0.019508,-0.078645
MSFT,2026-01-29,DOWN,18.41,17.82,38.82,-0.029179,-0.046852
MSFT,2026-03-05,UP,32.30,19.30,24.52,0.006868,0.003868
MSFT,2026-03-16,DOWN,26.70,14.34,27.38,0.005026,
MU,2025-03-14,UP,9.84,25.88,18.05,0.043175,0.038663
