slippage_bps,ticker,trigger_time,original_entry,slipped_entry,exit_price,return_pct,exit_reason,hold_bars
30,BA,2025-04-04 09:30:00,137.59,138.0028,160.68,16.4324,ema21_touch,7
30,BA,2025-11-21 09:30:00,179.68,180.219,187.42,3.9957,ema21_touch,6
30,C,2025-04-04 09:30:00,56.63,56.7999,59.42,4.6129,hard_max,10
30,COIN,2025-03-11 09:30:00,183.89,184.4417,182.24,-1.1937,hard_max,10
30,COIN,2025-04-08 13:30:00,151.55,152.0046,177.13,16.5293,ema21_touch,2
30,COIN,2025-11-21 09:30:00,239.1,239.8173,273.89,14.2078,ema21_touch,8
30,COST,2025-03-11 09:30:00,918.01,920.764,894.78,-2.822,hard_max,10
30,GOOGL,2025-04-04 13:30:00,145.11,145.5453,158.23,8.7153,ema21_touch,6
30,GS,2025-04-04 09:30:00,462.91,464.2987,506.43,9.0742,ema21_touch,7
30,GS,2025-10-17 09:30:00,741.81,744.0354,772.65,3.8459,ema21_touch,10
30,GS,2026-03-13 09:30:00,786.1,788.4583,805.36,2.1436,data_end,7
30,JPM,2025-04-04 09:30:00,208.98,209.6069,231.02,10.2158,ema21_touch,7
30,JPM,2025-11-21 09:30:00,295.77,296.6573,305.91,3.119,ema21_touch,6
30,MARA,2025-04-08 13:30:00,10.52,10.5516,12.29,16.4757,ema21_touch,2
30,MARA,2025-11-21 09:30:00,10.02,10.0501,11.44,13.8302,hard_max,10
30,META,2025-04-08 13:30:00,509.65,511.1789,583.4,14.1283,ema21_touch,2
30,META,2026-03-13 09:30:00,615.16,617.0055,615.72,-0.2083,data_end,7
30,MSFT,2025-03-11 09:30:00,374.33,375.453,385.58,2.6973,ema21_touch,7
30,MSFT,2025-04-08 13:30:00,352.86,353.9186,376.17,6.2872,ema21_touch,1
30,MSFT,2025-11-21 09:30:00,471.74,473.1552,490.98,3.7672,ema21_touch,8
30,MU,2025-04-04 09:30:00,65.04,65.2351,67.87,4.0391,hard_max,10
30,NVDA,2025-04-04 09:30:00,94.09,94.3723,106.45,12.798,ema21_touch,6
30,PLTR,2025-11-21 09:30:00,153.92,154.3818,167.88,8.7434,ema21_touch,6
30,SNOW,2025-04-04 09:30:00,129.56,129.9487,151.42,16.5229,ema21_touch,7
30,SNOW,2025-11-21 09:30:00,231.81,232.5054,251.0,7.9545,ema21_touch,8
30,TSLA,2025-03-11 09:30:00,223.81,224.4814,227.0,1.122,hard_max,10
30,TSLA,2025-11-21 09:30:00,394.64,395.8239,418.6,5.7541,ema21_touch,2
30,TSM,2025-04-04 09:30:00,144.53,144.9636,157.2,8.441,ema21_touch,7
30,TXN,2025-04-04 09:30:00,149.09,149.5373,164.13,9.7586,ema21_touch,7
30,TXN,2026-03-13 09:30:00,191.39,191.9642,190.79,-0.6117,data_end,7
30,V,2025-04-04 13:30:00,310.28,311.2108,329.78,5.9667,ema21_touch,6
50,AAPL,2025-04-04 09:30:00,190.17,191.1208,195.99,2.5477,hard_max,10
50,AMD,2025-03-11 09:30:00,96.13,96.6106,100.98,4.5226,ema21_touch,2
50,AMD,2025-04-04 09:30:00,86.33,86.7616,96.72,11.4778,ema21_touch,7
50,AMD,2025-11-21 09:30:00,201.52,202.5276,219.57,8.4149,hard_max,10
