streak_len,streak_bin,date,next_day_ret,next_day_range,max_bounce_3d,rsi,vix,vix_bucket,ticker,split
4,4,2025-12-15,0.008744958671085712,0.026674120512718152,0.008744958671085724,37.14896565348956,15.74,<20,COIN,A
2,2,2025-12-18,0.02474916387959869,0.025710702341137148,0.03674749163879607,33.8437772985442,17.62,<20,COIN,B
2,2,2025-12-24,-0.01196680982362508,0.032022682733602995,-0.011966809823625087,36.094157902977905,14.0,<20,COIN,A
3,3,2025-12-26,-0.013673193787981153,0.030005064145847336,-0.013673193787981132,34.96133177375431,13.47,<20,COIN,B
4,4,2025-12-29,-0.009070682868389524,0.019510525415026538,0.012022933424610655,33.67634376565685,13.6,<20,COIN,A
5,5,2025-12-30,-0.02361830742659754,0.029879101899827235,0.10051813471502591,32.82617161087576,14.2,<20,COIN,B
6,5,2025-12-31,0.045991243974704776,0.05563171626940261,0.1271392561800734,30.674409285310688,14.33,<20,COIN,A
2,2,2026-01-07,-0.0015449666612457058,0.03305415514717838,-0.0015449666612457125,45.54832227512352,14.75,<20,COIN,A
3,3,2026-01-08,-0.019341965958139862,0.03970193012460298,0.028829709259711636,45.35254408407931,15.38,<20,COIN,B
4,4,2026-01-09,0.009176597599966696,0.041356973798945346,0.062409168292986754,42.871927555512,15.45,<20,COIN,A
2,2,2026-01-21,-0.016657118935354487,0.03406336755827784,-0.016657118935354518,37.89531880562116,20.09,20-25,COIN,A
3,3,2026-01-22,-0.02755993726193151,0.031458660094107145,-0.027559937261931462,36.2611089317598,16.9,<20,COIN,B
4,4,2026-01-23,-0.01603686635944701,0.021889400921658985,-0.01603686635944696,33.71371082437098,15.64,<20,COIN,B
5,5,2026-01-26,-0.01231734732109413,0.027116897714499773,-0.012317347321094154,32.32967940333475,16.09,<20,COIN,B
6,5,2026-01-27,-0.006828204277111283,0.03599032671060731,-0.00682820427711128,31.284409275259293,16.15,<20,COIN,B
7,5,2026-01-28,-0.04869897350202912,0.061064693244210995,-0.04869897350202907,30.699154477706855,16.35,<20,COIN,A
8,5,2026-01-29,-0.021932245922208327,0.04015056461731493,-0.021932245922208302,26.865335096115018,16.35,<20,COIN,A
9,5,2026-01-30,-0.03612479474548436,0.030069786535303702,-0.031198686371100084,25.401696332954018,16.88,<20,COIN,A
10,5,2026-02-02,0.005110732538330609,0.0616482112436115,0.005110732538330536,23.20809805206399,17.44,<20,COIN,A
2,2,2026-02-05,-0.02680864390854998,0.08481052301910423,0.01822737237707483,16.93543226391239,18.64,<20,COIN,B
3,3,2026-02-06,0.0377164188710819,0.059342215356889993,0.04627662998004761,16.14651043073826,21.77,20-25,COIN,A
2,2,2026-02-12,0.16711609423786555,0.15249787113255756,0.17825716718705653,17.733749958509605,17.65,<20,COIN,B
2,2,2026-02-27,0.05252387448840379,0.08032060027285128,0.18730104592996827,45.89361643342624,18.63,<20,COIN,A
2,2,2026-03-06,0.013446998528441778,0.05510732227127424,0.0134469985284417,54.49307148035778,23.75,20-25,COIN,B
2,2,2025-02-18,0.005970007141156808,0.009635800999762073,0.00597000714115685,,14.77,<20,COST,A
2,2,2025-02-27,0.02660721141068434,0.02485505320457935,0.02660721141068431,44.111675944288976,19.1,<20,COST,B
2,2,2025-03-04,0.010825597299420675,0.02168999602285405,0.010825597299420746,49.993123764142055,22.78,20-25,COST,B
2,2,2025-03-07,-0.030267619594136375,0.036976368094319007,-0.030267619594136354,31.62345811510103,24.87,20-25,COST,A
3,3,2025-03-10,-0.00499225339989684,0.017978567739714273,-0.004992253399896819,27.300699750571894,23.37,20-25,COST,A
4,4,2025-03-11,-0.003016868512110693,0.02272923875432524,-0.0030168685121106874,26.67268015824436,27.86,>=25,COST,B
5,5,2025-03-12,-0.039023437923666804,0.03886074988340695,-0.011214628908580201,26.281194887502707,26.92,>=25,COST,A
6,5,2025-03-13,0.014243310045935154,0.028497906391431443,0.02893807207430898,21.83112760922542,24.23,20-25,COST,B
2,2,2025-04-07,0.0009402654867256555,0.04776548672566379,0.06090707964601764,38.22987226617346,45.31,>=25,COST,A
2,2,2025-04-16,0.027848758699490883,0.028845954087462326,0.027848758699490956,53.75121285170471,30.12,>=25,COST,A
2,2,2025-04-24,0.002083118490254776,0.01582963803238117,0.016417448695472785,53.613972279801516,28.45,>=25,COST,B
2,2,2025-05-07,-0.0007073333532582327,0.02540422606772468,0.008149277224862334,61.25542035005175,24.76,20-25,COST,A
3,3,2025-05-08,0.0008274679480788638,0.012561561621438422,0.008862879588459415,60.91192426366869,23.55,20-25,COST,A
2,2,2025-05-14,0.018789186342135444,0.0312680421769121,0.043757026953113176,51.887513838689635,18.22,<20,COST,A
2,2,2025-05-22,-0.010021107450732814,0.007959678851123479,-0.000315625431519194,57.03491382240806,20.87,20-25,COST,A
3,3,2025-05-23,0.009803726213011732,0.007960545979874473,0.009803726213011774,52.67068856691271,20.28,20-25,COST,A
2,2,2025-05-29,0.031023516862557443,0.05012411400544293,0.049087338377645416,51.61826845027131,19.31,<20,COST,B
2,2,2025-06-04,-0.03896401558560614,0.04284131713652687,-0.034933913973565524,63.846515646460226,17.69,<20,COST,A
3,3,2025-06-05,0.0041934970983383835,0.011894824707846438,0.004193497098338415,48.476393981262774,17.61,<20,COST,B
2,2,2025-06-16,-0.006722637640650064,0.01005845328327911,-0.004090709702428913,40.788038910711755,20.82,20-25,COST,B
3,3,2025-06-17,-0.0032043381809219174,0.00877084873880532,0.02764768712513359,38.84549037940154,19.11,<20,COST,A
4,4,2025-06-18,0.005872898120672598,0.015145895153313481,0.030951203428948318,37.92458760262452,21.6,20-25,COST,A
2,2,2025-06-25,-0.00377623516479042,0.011369419620137164,0.0031960588726258434,44.33476384743932,17.48,<20,COST,A
3,3,2025-06-26,0.0022579821200510164,0.013067688378033168,0.00699872286079185,43.11588448431094,16.76,<20,COST,B
2,2,2025-07-02,0.0043769941912787935,0.0384009653931113,0.010472060868853808,43.16578871876451,16.83,<20,COST,B
2,2,2025-07-09,-0.012126913363122327,0.019274225707829346,-0.001186106197404849,43.85161215020008,16.81,<20,COST,B
3,3,2025-07-10,0.0,0.013693809321726908,0.011075114115077727,38.99932780065348,15.94,<20,COST,A
2,2,2025-07-16,0.003221037068328325,0.007614320413982387,0.003221037068328301,34.192213964550234,17.38,<20,COST,B
2,2,2025-07-21,-0.006104993163679517,0.01736107430921366,-0.006104993163679521,33.80567167491367,16.41,<20,COST,A
3,3,2025-07-22,-0.0005012103697226156,0.013276742772439756,-0.0005012103697226571,31.88950663299927,16.65,<20,COST,B
4,4,2025-07-23,-0.007852676951966342,0.010007895354544091,-0.0060602180824957325,31.73145702768582,16.5,<20,COST,A
5,5,2025-07-24,0.0018066458759007364,0.0074309065490912665,0.001806645875900703,29.28386696975234,15.37,<20,COST,B
2,2,2025-08-14,-0.003351530292282301,0.01310797890386454,0.005561895362345627,54.74296688339952,14.49,<20,COST,B
3,3,2025-08-15,0.007076323200231105,0.011604757434781263,0.022776270591997404,52.95840169183934,14.83,<20,COST,B
2,2,2025-08-22,-0.017701707398727895,0.01851774355540681,-0.009070555741546778,45.15351058969529,16.6,<20,COST,B
3,3,2025-08-25,9.585481191165535e-05,0.011470625825416417,0.008786691091892814,39.2473077365888,14.22,<20,COST,B
2,2,2025-08-29,-0.0037009858660626005,0.008422933350349318,0.013676631677461224,40.84726339897387,14.43,<20,COST,A
3,3,2025-09-02,0.011336343548852046,0.01446397882174609,0.02570425166255702,39.49914713082547,15.36,<20,COST,B
2,2,2025-09-16,0.011421226201388635,0.011020851113148026,0.011421226201388702,45.67672610084562,15.69,<20,COST,B
2,2,2025-09-19,-0.007733617497177603,0.010930460746352132,-0.00572899631782736,45.569708683763984,15.7,<20,COST,B
3,3,2025-09-22,0.0008718952024497906,0.0121852670976523,0.0020202449812861275,42.608126874568875,15.45,<20,COST,B
2,2,2025-09-26,0.001347074220503952,0.015212082051057382,0.010776593764031932,32.568789291319945,16.74,<20,COST,A
2,2,2025-10-02,-0.0017173297163671775,0.007525623215672543,-0.0017173297163671913,35.54264674642867,16.29,<20,COST,A
3,3,2025-10-03,-0.004667776998597439,0.01258984922861151,-0.0004382889200560761,34.961489505491116,16.63,<20,COST,B
4,4,2025-10-06,0.0042052885356349545,0.015103811180343058,0.035084436028974667,33.36723119812267,16.65,<20,COST,A
2,2,2025-10-24,-0.0021519491279226033,0.008661595239888603,-0.002151949127922616,47.31444644888349,17.3,<20,COST,B
3,3,2025-10-27,-0.006491335899675432,0.011311314549434444,-0.006491335899675414,46.42902004828885,16.37,<20,COST,A
4,4,2025-10-28,-0.012329465904034276,0.01145034025418665,-0.0041459999782932485,43.77366388395195,15.79,<20,COST,B
5,5,2025-10-29,0.008285623234909556,0.01383501280205703,0.018670124504126338,39.215804556587,16.42,<20,COST,A
2,2,2025-11-06,-0.0014091224419007231,0.01754899410336461,-0.0014091224419007485,46.855484295207326,18.01,<20,COST,B
3,3,2025-11-07,-0.007695981590430501,0.014024271106962282,-0.007695981590430532,46.32206164340333,19.5,<20,COST,A
4,4,2025-11-10,-0.0013017272498550003,0.006432064058107349,0.010982639990373867,43.41886122375529,19.08,<20,COST,B
5,5,2025-11-11,-0.000591469692654778,0.007031917457118527,0.012300378978729017,42.93249802512842,17.6,<20,COST,A
6,5,2025-11-12,0.012899478321862334,0.016450396738415664,0.012899478321862239,42.698760186411505,17.28,<20,COST,B
2,2,2025-11-17,-0.019367298344178385,0.02710324470828342,-0.01936729834417839,43.0766013673831,19.83,<20,COST,B
3,3,2025-11-18,-0.004789186285918845,0.02349834392623758,0.00456539253424049,36.32564484270976,22.38,20-25,COST,B
4,4,2025-11-19,0.003002023836294221,0.015234989880818606,0.00939959523274119,34.89740622549263,24.69,20-25,COST,B
2,2,2025-12-05,-0.00820396879581864,0.012412280210863299,-0.007196660212430259,41.64414179732256,15.78,<20,COST,A
3,3,2025-12-08,0.0010156408693886565,0.008463673911571535,0.0010156408693885585,38.882687979352234,15.41,<20,COST,A
2,2,2025-12-15,-0.0005585552038727126,0.02270294172407372,0.002432042450195531,32.374452837056495,15.74,<20,COST,B
3,3,2025-12-16,0.0029922690014902997,0.012038934426229546,0.0029922690014903713,32.236485066536446,16.5,<20,COST,B
2,2,2025-12-19,-0.007277492424153764,0.009570721548163736,0.019714750377329684,31.672478410249,16.87,<20,COST,B
3,3,2025-12-22,0.005975461713437102,0.009629097080627433,0.027861916154961267,29.661154746019534,14.91,<20,COST,B
2,2,2025-12-30,-0.003979639055992523,0.007693197593706591,0.011649699213327222,41.37258460637571,14.2,<20,COST,A
3,3,2025-12-31,-0.008583441739453579,0.01230022300687595,0.031418416651180024,39.79760600609184,14.33,<20,COST,B
4,4,2026-01-02,0.024485396628278755,0.020970746394554606,0.04034818468315421,36.57629678100034,14.95,<20,COST,B
2,2,2026-01-27,-0.009712646050947571,0.014935386647950154,-0.009712646050947609,67.65148153725899,16.15,<20,COST,A
3,3,2026-01-28,-0.008046444242935769,0.012267700613906155,0.009338878292319436,62.40688353531738,16.35,<20,COST,A
4,4,2026-01-29,-0.012030975822466927,0.02187641193220629,0.017526347311681026,58.40644134048239,16.35,<20,COST,B
5,5,2026-01-30,0.029917256928934544,0.04153106587539624,0.039871950311615945,52.98175407414564,16.88,<20,COST,A
2,2,2026-02-18,-0.008154329728155552,0.023850410227055908,-0.00815432972815554,58.883265660479196,20.29,20-25,COST,B
