ticker,timestamp,pattern,direction,entry_price,level_price,blocked_by,blocked_reason,atr_ratio
BA,2025-10-30 16:30:00,LP1,long,201.2,201.046,time,Before open delay (16:30 IST < 16:35 IST),0.0
BA,2025-10-31 16:30:00,LP1,long,201.2,201.046,time,Before open delay (16:30 IST < 16:35 IST),0.0
BA,2025-11-12 16:40:00,LP2,long,195.6048,195.604,squeeze,Squeeze detected (BB width=0.0025) — overrides ATR pass,nan
BA,2025-11-12 16:45:00,LP1,long,196.0,195.604,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
BA,2025-11-12 16:50:00,MODEL4,long,196.0,195.604,squeeze,Squeeze detected (BB width=0.0044) — overrides ATR pass,nan
BA,2025-11-12 16:55:00,LP1,long,195.8,195.604,squeeze,Squeeze detected (BB width=0.0046) — overrides ATR pass,nan
BA,2025-11-12 17:10:00,LP2,short,195.42,195.604,squeeze,Squeeze detected (BB width=0.0049) — overrides ATR pass,nan
BA,2025-11-12 17:25:00,LP2,long,195.7,195.604,squeeze,Squeeze detected (BB width=0.0050) — overrides ATR pass,nan
BA,2025-11-12 17:35:00,LP2,short,195.54,195.604,squeeze,Squeeze detected (BB width=0.0049) — overrides ATR pass,nan
BA,2025-11-12 17:40:00,LP2,long,195.8827,195.604,squeeze,Squeeze detected (BB width=0.0050) — overrides ATR pass,nan
BA,2025-11-12 17:55:00,LP2,short,195.55,195.604,squeeze,Squeeze detected (BB width=0.0047) — overrides ATR pass,nan
BA,2025-11-12 18:15:00,LP1,long,195.8,195.604,squeeze,Squeeze detected (BB width=0.0044) — overrides ATR pass,nan
BA,2025-11-12 18:20:00,LP1,short,195.5,195.604,squeeze,Squeeze detected (BB width=0.0045) — overrides ATR pass,nan
BA,2025-11-12 18:30:00,LP1,long,195.7,195.604,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
BA,2025-11-12 18:35:00,LP1,long,195.8,195.604,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
BA,2025-11-12 18:40:00,LP1,long,195.8,195.604,squeeze,Squeeze detected (BB width=0.0029) — overrides ATR pass,nan
BA,2025-11-12 18:45:00,LP1,long,195.63,195.604,squeeze,Squeeze detected (BB width=0.0029) — overrides ATR pass,nan
BA,2025-11-12 18:50:00,LP1,long,195.7999,195.604,squeeze,Squeeze detected (BB width=0.0029) — overrides ATR pass,nan
BA,2025-11-12 18:55:00,LP2,short,195.57,195.604,squeeze,Squeeze detected (BB width=0.0028) — overrides ATR pass,nan
BA,2025-11-12 19:10:00,LP1,short,195.6,195.604,squeeze,Squeeze detected (BB width=0.0026) — overrides ATR pass,nan
BA,2025-11-12 19:15:00,LP2,long,195.65,195.604,squeeze,Squeeze detected (BB width=0.0026) — overrides ATR pass,nan
BA,2025-11-12 19:20:00,LP1,long,195.7952,195.604,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-11-12 19:25:00,LP1,long,195.7,195.604,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-11-12 19:30:00,LP1,long,195.725,195.604,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-11-12 19:35:00,CLP,short,195.527,195.604,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-11-12 19:40:00,MODEL4,short,195.5,195.604,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-11-12 19:50:00,LP1,short,195.5,195.604,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
