market,touch,signal,prev_run,lag,ret4,mae,grp,quarter
^FCHI,1991-08-23,1991-08-23,1,0,0.02836105808562861,0.0014180395887304353,B1,1991Q3
^FCHI,1991-11-22,1992-01-10,12,7,0.01317075805503598,-0.009088969750891907,B1,1992Q1
^FCHI,1992-06-12,1992-09-18,21,14,-0.11615065611900688,-0.16209042927659545,EVENT,1992Q3
^FCHI,1992-11-20,1992-12-04,2,2,0.04271207259460086,-0.04187011148362607,B1,1992Q4
^FCHI,1992-12-18,1992-12-18,1,0,0.038066019504201964,0.001761249718161828,B1,1992Q4
^FCHI,1993-01-15,1993-01-15,3,0,0.046467092960710055,-0.03896883154904618,B1,1993Q1
^FCHI,1993-01-29,1993-02-05,1,1,0.04554031371853595,-0.02394924658907438,B1,1993Q1
^FCHI,1993-04-23,1993-04-23,10,0,-0.041636193141146305,-0.04972343106113075,B1,1993Q2
^FCHI,1993-05-07,1993-06-25,1,7,0.017441835128632732,-0.026009791273965077,B1,1993Q2
^FCHI,1993-07-09,1993-07-09,1,0,0.08264093352039681,-0.02684188350125971,B1,1993Q3
^FCHI,1993-07-23,1993-07-23,1,0,0.06676689281798254,-0.008621529409461148,B1,1993Q3
^FCHI,1993-11-05,1993-11-19,14,2,0.023867216267605018,-0.041161686946659004,B1,1993Q4
^FCHI,1993-12-03,1993-12-03,1,0,0.036465021197752856,-0.023304698535847823,B1,1993Q4
^FCHI,1993-12-17,1993-12-17,1,0,0.0300037103507671,0.0020943807415676474,B1,1993Q4
^FCHI,1994-02-25,1994-03-18,9,3,-0.02777650466645676,-0.0738757007378733,B1,1994Q1
^FCHI,1994-08-12,1994-08-26,2,2,-0.06559360544947168,-0.08294952229418107,B1,1994Q3
^FCHI,1994-12-09,1994-12-23,1,2,-0.07005486121114612,-0.07164473639317315,B1,1994Q4
^FCHI,1995-04-21,1995-04-21,2,0,0.01923873424405831,-0.013378992170446802,B1,1995Q2
^FCHI,1995-06-30,1995-07-07,9,1,0.003229406705006266,-0.025220459304244436,B1,1995Q3
^FCHI,1995-07-28,1995-07-28,2,0,0.0025869204644481947,-0.00920946211633078,B1,1995Q3
^FCHI,1995-08-25,1995-08-25,3,0,-0.07591087519334516,-0.07745902253796633,B1,1995Q3
^FCHI,1995-11-24,1995-11-24,1,0,-0.009307231933335491,-0.06578531169437463,B1,1995Q4
^FCHI,1995-12-22,1995-12-22,1,0,0.048521417331833794,-0.008380523666907669,B1,1995Q4
^FCHI,1996-07-12,1996-09-13,28,9,0.03206123747523559,-0.008219503133200745,EVENT,1996Q3
^FCHI,1997-04-25,1997-04-25,31,0,0.08934268389117572,-0.00023660357398458398,EVENT,1997Q2
^FCHI,1997-05-30,1997-06-06,4,1,0.0791379940821959,-0.026587742260837488,B1,1997Q2
^FCHI,1997-08-29,1997-09-05,11,1,0.05795862540605223,-0.032997093520259924,B1,1997Q3
^FCHI,1997-10-24,1997-12-05,5,6,0.04419086945469575,-0.032438797057325774,B1,1997Q4
^FCHI,1998-01-16,1998-01-16,3,0,0.07109970987947101,-0.010685140883926691,B1,1998Q1
^FCHI,1998-08-07,1998-11-20,28,15,-0.02913983748825666,-0.05740132855594027,EVENT,1998Q4
^FCHI,1998-12-04,1998-12-04,1,0,0.05458470156429729,-0.0259081913621948,B1,1998Q4
^FCHI,1999-03-26,1999-03-26,15,0,0.03564882273927994,-0.006591786853299086,EVENT,1999Q1
^FCHI,1999-07-30,1999-08-13,17,2,0.07018055025626535,-0.007768952050921651,EVENT,1999Q3
^FCHI,1999-10-01,1999-10-01,6,0,0.07428746421373433,-0.02145657625509856,B1,1999Q4
^FCHI,1999-10-15,1999-10-22,1,1,0.12515075467629155,-0.005169029994778751,B1,1999Q4
^FCHI,2000-04-07,2000-04-07,23,0,0.03768519620839794,-0.08807808672990336,EVENT,2000Q2
^FCHI,2000-04-21,2000-04-21,1,0,-0.006168882940813636,-0.011615976972928821,B1,2000Q2
^FCHI,2000-05-12,2000-05-12,2,0,0.01547148512220331,-0.06905744616657727,B1,2000Q2
^FCHI,2000-05-26,2000-06-02,1,1,-0.03401203260115393,-0.042238561057362234,B1,2000Q2
^FCHI,2000-07-28,2000-07-28,7,0,0.027960952540052153,-0.009475169899375135,B1,2000Q3
^FCHI,2000-09-22,2001-04-27,7,31,0.0010706166518981153,-0.035439635426395055,B1,2001Q2
^FCHI,2001-05-18,2001-05-18,1,0,-0.06995097303950182,-0.07908321004136443,B1,2001Q2
^FCHI,2001-06-01,2001-11-16,1,24,-0.05390530283274031,-0.05390530283274031,B1,2001Q4
^FCHI,2001-11-30,2001-12-07,1,1,0.008582944892494115,-0.06766616106170098,B1,2001Q4
^FCHI,2002-02-01,2002-02-01,6,0,0.006926146853688753,-0.05504588664071519,B1,2002Q1
^FCHI,2002-04-05,2002-04-05,5,0,-0.03560472717041696,-0.036176084438040323,B1,2002Q2
^FCHI,2002-04-26,2002-11-22,1,30,-0.0674364082500799,-0.08739538310140527,B1,2002Q4
^FCHI,2002-12-06,2002-12-06,1,0,0.0006622773358764267,-0.06332848848570849,B1,2002Q4
^FCHI,2003-01-10,2003-01-10,1,0,-0.11501741516384711,-0.1350007401174237,B1,2003Q1
^FCHI,2003-05-23,2003-05-23,3,0,0.10111633606693382,-0.024282350871134506,B1,2003Q2
^FCHI,2003-10-03,2003-10-03,18,0,0.023310512579312048,-0.020331522451188522,EVENT,2003Q4
^FCHI,2003-11-21,2003-11-21,6,0,0.04037880917587855,0.0010278780367443119,B1,2003Q4
^FCHI,2004-03-19,2004-03-19,16,0,0.03827825617508651,-0.03424866021914197,EVENT,2004Q1
^FCHI,2004-04-02,2004-04-02,1,0,-0.017548519711664268,-0.020856117348561076,B1,2004Q2
^FCHI,2004-04-30,2004-04-30,3,0,-0.006055608125289713,-0.0418231383154557,B1,2004Q2
^FCHI,2004-06-18,2004-06-18,2,0,-0.034884654336310605,-0.035552942733558024,B1,2004Q2
^FCHI,2004-07-02,2004-09-03,1,9,0.017518009495401055,-0.00869350659210466,B1,2004Q3
