ticker,earnings_date,day1_date,timing,prior_close,day1_open,day1_high,day1_low,day1_close,gap_pct,gap_size,shape,eps_surprise_pct,rec_10:00,rec_10:30,rec_12:00,rec_13:00,rec_13:30,rec_16:00,drift_1d,drift_2d,drift_3d,drift_5d,price_10:00,price_10:30,price_12:00,price_13:00,price_13:30,price_16:00
COST,2025-09-25,2025-09-26,AMC,940.21,922.96,925.03,902.51,913.09,-1.8346965039725167,17.25,EARLY_HOLD,-27.2349,0.6515942028985513,0.7588405797101467,1.120000000000003,0.7994202898550704,0.8295652173913077,0.6133333333333357,0.1347074220504023,1.0776593764031932,0.16099179708461525,-0.04928320318917581,913.75,915.6,921.83,916.3,916.82,913.09
COST,2025-12-11,2025-12-12,AMC,883.18,882.08,887.39,865.92,883.08,-0.12454992187322053,1.099999999999909,EARLY_HOLD,0.6645,5.4818181818186105,3.0727272727275228,5.518181818182216,1.254545454545554,5.772727272727771,15.600000000001364,-2.686053358699102,-2.7404085700049876,-2.4493817094713948,-3.2148842686959265,878.27,875.58,872.28,867.59,872.27,883.08
COST,2026-03-05,2026-03-06,AMC,982.26,967.0,1002.5,960.46,998.62,-1.5535601571885236,15.259999999999991,EARLY_HOLD,1.2195,1.8138925294888575,2.394495412844036,2.418741808650065,2.4855832241153326,2.5,2.500655307994757,0.6539023852916998,-0.15120866796178634,-0.6398830385932573,0.970339067913715,988.14,997.0,997.37,998.39,998.61,998.62
GOOGL,2025-02-04,2025-02-05,AMC,205.31,190.31,191.99,187.29,190.58,-7.306025035312453,15.0,MIXED,26.8908,0.05133333333333212,0.022000000000000835,0.20733333333333423,0.16333333333333447,0.1673333333333346,0.21933333333333468,0.15216706894741946,-3.127295623884987,-2.592087312414747,-4.061286598803656,188.54,187.62,190.4,189.74,189.8,190.58
GOOGL,2025-04-24,2025-04-25,AMC,158.6,164.62,165.64,160.6,161.41,3.7957124842370806,6.02000000000001,NO_RECOVERY,8.0851,0.14617940199335447,0.06146179401992948,0.08637873754152979,0.1777408637873787,0.21926910299003644,0.13455149501661146,-0.7682299733597727,-1.0470231088532294,-1.914379530388454,1.319620841335726,162.71,162.2,161.56,162.11,162.36,161.41
GOOGL,2025-07-29,2025-07-30,AMC,195.43,195.29,197.29,194.38,196.32,-0.07163690323901897,0.14000000000001478,EARLY_HOLD,18.8841,1.0,6.42857142857079,17.57142857142677,17.785714285712473,15.428571428569775,13.857142857141378,-2.3838630806846,-3.83557457212714,-0.8099022004889994,-0.2750611246943725,194.84,195.28,196.84,196.87,196.54,196.32
GOOGL,2025-10-28,2025-10-29,AMC,267.31,267.57,275.15,267.49,274.8,0.09726534734951589,0.2599999999999909,EARLY_HOLD,-6.5217,5.5000000000002185,6.115384615384733,17.576923076923666,15.26923076923119,16.730769230769685,28.115384615385608,2.3617176128093194,2.2634643377001344,3.235080058224158,3.3842794759825363,268.92,269.08,272.06,271.46,271.84,274.8
GOOGL,2026-02-03,2026-02-04,AMC,347.84,342.96,344.55,333.0,342.55,-1.402943882244709,4.8799999999999955,MIXED,28.0952,0.08196721311476117,0.2315573770491796,1.6967213114754058,2.0963114754098418,2.0163934426229475,1.9569672131147582,-7.756531893154282,-4.247555101445047,-6.448693621369152,-9.359217632462414,336.54,335.98,341.28,343.23,342.84,342.55
GS,2025-04-14,2025-04-14,BMO,484.44,499.68,501.64,487.09,493.96,3.1459004211047823,15.240000000000009,EARLY_HOLD,1.6988,0.1541994750656182,0.4960629921259841,0.11482939632545924,0.3405511811023619,0.6561679790026242,0.4507874015748032,0.791562069803228,-1.0365211758037098,1.0567657300186306,3.10349016114666,489.79,495.0,488.84,492.28,497.09,493.96
GS,2025-07-14,2025-07-14,BMO,693.87,693.93,702.49,691.36,702.34,0.008647152924891613,0.05999999999994543,EARLY_HOLD,-21.9208,46.66666666670835,82.5000000000739,151.50000000013833,149.66666666680308,167.16666666681826,183.00000000016675,-1.680097958253847,-0.7588917048722899,-1.0279921405587076,-0.9738872910556186,694.16,696.31,700.45,700.34,701.39,702.34
