ticker,sector,entry_day,entry_bar,entry_price,exit_day,exit_bar,exit_price,return_pct,bars_held,exit_reason,pullback_depth,rs_rank,vix_at_entry
TSM,growth_semi,2025-09-23,1,281.1,2025-09-26,1,272.18,-3.1732,6,EMA9_BREAK,1,6,15.45
BABA,china_adr,2025-09-25,1,174.15,2025-10-01,1,181.21,4.054,8,HARD_MAX,1,2,16.64
BIDU,china_adr,2025-09-25,1,135.48,2025-09-26,1,132.15,-2.4579,2,EMA9_BREAK,1,1,16.64
TSLA,growth_semi,2025-09-26,1,433.09,2025-10-02,1,445.89,2.9555,8,HARD_MAX,2,4,16.18
TSM,growth_semi,2025-09-30,1,276.13,2025-10-06,1,302.96,9.7164,8,HARD_MAX,2,5,15.29
BIDU,china_adr,2025-10-02,2,140.2,2025-10-07,1,140.64,0.3138,5,EMA9_BREAK,1,3,16.29
MU,growth_semi,2025-10-02,2,183.56,2025-10-08,2,196.5,7.0495,8,HARD_MAX,1,1,16.29
BABA,china_adr,2025-10-03,2,187.98,2025-10-07,1,181.24,-3.5855,3,EMA9_BREAK,1,3,16.63
MARA,crypto_proxy,2025-10-07,2,20.24,2025-10-09,1,19.73,-2.5198,3,EMA9_BREAK,1,4,16.37
AMD,growth_semi,2025-10-09,2,232.88,2025-10-10,2,214.61,-7.8452,2,EMA9_BREAK,1,1,16.3
MU,growth_semi,2025-10-09,2,192.24,2025-10-10,1,185.34,-3.5893,1,EMA9_BREAK,1,3,16.3
TSM,growth_semi,2025-10-09,2,299.06,2025-10-10,1,285.62,-4.4941,1,EMA21_BREAK,1,7,16.3
SNOW,other,2025-10-13,1,245.88,2025-10-14,1,242.38,-1.4235,2,EMA9_BREAK,2,5,16.43
TSM,growth_semi,2025-10-15,1,301.34,2025-10-17,1,295.72,-1.865,4,EMA9_BREAK,1,4,19.03
AMD,growth_semi,2025-10-21,2,238.07,2025-10-22,1,226.35,-4.9229,1,EMA9_BREAK,2,1,18.23
AAPL,mega_tech,2025-10-22,2,257.94,2025-10-28,2,268.52,4.1017,8,HARD_MAX,2,6,17.87
MSFT,mega_tech,2025-10-22,2,518.31,2025-10-28,2,539.75,4.1365,8,HARD_MAX,1,7,17.87
AVGO,growth_semi,2025-10-27,1,358.78,2025-10-31,1,364.87,1.6974,8,EMA9_BREAK,1,7,17.3
MU,growth_semi,2025-10-27,2,219.95,2025-10-31,1,220.87,0.4183,7,EMA9_BREAK,1,2,16.37
SNOW,other,2025-10-28,1,268.54,2025-11-03,1,277.4,3.2993,8,HARD_MAX,1,3,16.37
TSM,growth_semi,2025-10-28,2,300.74,2025-10-31,1,297.14,-1.197,5,EMA21_BREAK,1,6,15.79
AMD,growth_semi,2025-10-29,2,264.34,2025-10-30,2,254.9,-3.5712,2,EMA9_BREAK,2,1,16.42
NVDA,mega_tech,2025-10-29,2,207.04,2025-11-04,1,199.81,-3.4921,7,EMA9_BREAK,1,6,16.42
GOOGL,mega_tech,2025-10-30,2,281.29,2025-11-04,1,276.68,-1.6389,5,EMA9_BREAK,1,3,16.92
AMD,growth_semi,2025-10-31,2,256.06,2025-11-04,1,252.85,-1.2536,3,EMA9_BREAK,2,1,16.91
AMZN,mega_tech,2025-10-31,2,244.17,2025-11-06,1,244.11,-0.0246,7,EMA9_BREAK,1,6,16.91
AAPL,mega_tech,2025-11-05,1,269.6,2025-11-06,2,269.15,-0.1669,3,EMA9_BREAK,1,7,17.17
MU,growth_semi,2025-11-07,1,233.98,2025-11-11,2,241.06,3.0259,5,EMA9_BREAK,1,1,18.01
AAPL,mega_tech,2025-11-11,1,274.22,2025-11-14,2,272.34,-0.6856,7,EMA9_BREAK,1,6,19.08
AMZN,mega_tech,2025-11-11,1,249.33,2025-11-12,1,245.45,-1.5562,2,EMA9_BREAK,1,3,19.08
SNOW,other,2025-11-11,1,272.29,2025-11-13,1,256.21,-5.9055,4,EMA21_BREAK,1,7,19.08
GOOGL,mega_tech,2025-11-12,2,286.56,2025-11-13,1,277.88,-3.029,1,EMA21_BREAK,1,2,17.28
GOOGL,mega_tech,2025-11-17,2,284.93,2025-11-21,2,299.54,5.1276,8,HARD_MAX,1,2,19.83
AAPL,mega_tech,2025-11-28,1,278.35,2025-12-04,1,279.74,0.4994,8,EMA9_BREAK,1,5,18.56
C,finance,2025-11-28,1,103.17,2025-12-04,1,108.0,4.6816,8,HARD_MAX,1,4,18.56
GOOGL,mega_tech,2025-11-28,2,320.07,2025-12-01,2,314.88,-1.6215,2,EMA9_BREAK,1,1,17.19
GS,finance,2025-11-28,1,818.04,2025-12-04,1,833.35,1.8715,8,HARD_MAX,1,2,18.56
AVGO,growth_semi,2025-12-01,1,390.47,2025-12-01,2,385.34,-1.3138,1,EMA9_BREAK,1,2,17.19
GOOGL,mega_tech,2025-12-04,2,317.37,2025-12-08,1,312.2,-1.629,3,EMA21_BREAK,2,1,16.08
TXN,other,2025-12-04,2,178.97,2025-12-09,2,178.36,-0.3408,6,EMA9_BREAK,1,2,16.08
C,finance,2025-12-05,1,108.18,2025-12-11,1,111.23,2.8194,8,HARD_MAX,1,5,16.08
GS,finance,2025-12-05,1,850.91,2025-12-11,1,904.09,6.2498,8,HARD_MAX,1,4,16.08
AVGO,growth_semi,2025-12-08,2,400.42,2025-12-12,1,363.36,-9.2553,7,EMA21_BREAK,1,1,15.41
MU,growth_semi,2025-12-11,2,258.36,2025-12-12,1,246.99,-4.4008,1,EMA9_BREAK,1,7,15.77
C,finance,2025-12-12,1,112.05,2025-12-16,1,110.48,-1.4012,4,EMA9_BREAK,1,5,15.77
GS,finance,2025-12-12,2,883.65,2025-12-16,1,874.03,-1.0887,3,EMA9_BREAK,1,4,14.85
TSLA,growth_semi,2025-12-16,1,477.24,2025-12-17,2,467.2,-2.1038,3,EMA9_BREAK,1,1,15.74
C,finance,2025-12-17,2,110.85,2025-12-23,2,118.75,7.1267,8,HARD_MAX,1,2,16.48
V,finance,2025-12-17,2,343.7,2025-12-23,2,352.66,2.6069,8,HARD_MAX,1,7,16.48
GS,finance,2025-12-19,1,893.72,2025-12-26,1,901.84,0.9086,8,HARD_MAX,1,7,17.62
TSLA,growth_semi,2025-12-19,1,481.24,2025-12-26,1,478.88,-0.4904,8,EMA9_BREAK,1,1,17.62
BA,finance,2025-12-22,1,215.95,2025-12-29,1,217.47,0.7039,8,HARD_MAX,1,4,16.87
MU,growth_semi,2025-12-22,2,276.51,2025-12-29,2,294.36,6.4555,8,HARD_MAX,1,1,14.91
C,finance,2025-12-26,1,119.4,2025-12-29,1,117.83,-1.3149,2,EMA9_BREAK,1,2,14.0
BA,finance,2025-12-30,1,221.62,2025-12-31,1,217.5,-1.859,2,EMA9_BREAK,1,2,13.6
